Key,LOC,NOF,NOP,Entropy
SPARK-10210,168,4,4,0.7219280948873623
SPARK-4370,168,18,14,0.916222438194629
SPARK-20070,168,7,6,0.8886831177898309
SPARK-8095,168,4,3,0.8307119775644198
SPARK-19652,168,8,7,0.9609640474436811
SPARK-20906,168,5,5,0.8804820237218406
SPARK-34133,168,5,3,0
SPARK-34472,167,4,4,0
SPARK-21492,167,8,6,0.9463946303571861
SPARK-13747,167,17,16,0.8553696466124934
SPARK-20048,167,12,9,0.8692391406366821
SPARK-30537,167,4,3,0.9431887805255735
SPARK-32110,167,5,5,0
SPARK-38206,166,3,3,0.9709505944546686
SPARK-22083,166,3,3,0
SPARK-3912,166,2,2,0
SPARK-31164,166,3,3,0.9182958340544896
SPARK-7965,166,4,4,0.9925932182444079
SPARK-7972,166,4,4,0.9925932182444079
SPARK-2197,166,8,6,0.9605581434265921
