Key,Mean,Std
AXIS2-1087,2,0
AXIS2-2395,3,0
AXIS2-3052,1,0
AXIS2-2732,2,0
AXIS2-2771,2,0
AXIS2-3497,1,0
AXIS2-5799,2,0
AXIS2-1299,1,0
AXIS2-5296,2,0
AXIS2-5190,2,0
AXIS2-1910,2,0
AXIS2-6034,2,0
AXIS2-5919,2,0
AXIS2-2248,2,0
AXIS2-4741,3,0
AXIS2-2348,2,0
AXIS2-5757,1,0
AXIS2-1875,2,0
AXIS2-3479,1,0
AXIS2-1361,1,0
AXIS2-5145,1,0
AXIS2-2325,1.5,0.7071067811865476
AXIS2-2603,2,0
AXIS2-3465,1,0
AXIS2-2716,2,0
AXIS2-4569,2,0
AXIS2-632,2,0
AXIS2-1041,2,0
AXIS2-2755,2,0
AXIS2-1702,2,0
AXIS2-3659,1,0
AXIS2-5170,1,0
AXIS2-2942,1,0
AXIS2-2594,2,1.4142135623730951
AXIS2-1277,2,0
AXIS2-945,2,0
AXIS2-2282,2,0
AXIS2-2738,2,0
AXIS2-3968,2,0
AXIS2-4174,2,0
AXIS2-3215,1,0
AXIS2-4520,3,0
AXIS2-2668,2,0
AXIS2-2374,2,0
AXIS2-1247,1,0
AXIS2-2357,2,0
AXIS2-1897,2,0
AXIS2-1581,2,0
AXIS2-2699,3,0
AXIS2-1587,2,0
AXIS2-2778,2,0
AXIS2-2727,2,0
AXIS2-2642,2,0
AXIS2-1138,2,0
AXIS2-2022,2,0
AXIS2-2339,2,0
AXIS2-1176,3,0
AXIS2-1723,1,0
AXIS2-2649,3,0
AXIS2-3400,1,0
AXIS2-2075,2.6666666666666665,0.5773502691896258
AXIS2-372,2,0
AXIS2-5914,2,0
AXIS2-935,1,0
AXIS2-2426,1,0
AXIS2-2696,2,0
AXIS2-2719,2,0
AXIS2-4823,1,0
AXIS2-4728,2,0
AXIS2-1815,2,0
AXIS2-1421,1,0
